"serialnumber","aep_usage_dt","aep_channel_id","aep_raw_uom","endtimeperiod","starttimeperiod","value","aep_raw_value","scalarfloat","aep_derived_uom","name_register","aep_srvc_qlty_idntfr","aep_sec_per_intrvl","aep_premise_nb","aep_service_point","aep_srvc_dlvry_id","aep_devicecode","aep_meter_program","aep_acct_cls_cd","aep_acct_type_cd","aep_mtr_pnt_nb","aep_tarf_pnt_nb","aep_endtime_utc","aep_city","aep_zip","aep_state","authority","timezoneoffset","aep_meter_bucket","hdp_update_user"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T04:30:00-04:00","2026-03-23T04:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774254600","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T04:45:00-04:00","2026-03-23T04:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774255500","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T05:00:00-04:00","2026-03-23T04:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774256400","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T05:15:00-04:00","2026-03-23T05:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774257300","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T05:30:00-04:00","2026-03-23T05:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774258200","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T05:45:00-04:00","2026-03-23T05:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774259100","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T06:00:00-04:00","2026-03-23T05:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774260000","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T06:15:00-04:00","2026-03-23T06:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774260900","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T06:30:00-04:00","2026-03-23T06:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774261800","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T06:45:00-04:00","2026-03-23T06:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774262700","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T07:00:00-04:00","2026-03-23T06:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774263600","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T07:15:00-04:00","2026-03-23T07:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774264500","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T07:30:00-04:00","2026-03-23T07:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774265400","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T07:45:00-04:00","2026-03-23T07:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774266300","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T08:00:00-04:00","2026-03-23T07:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774267200","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T08:15:00-04:00","2026-03-23T08:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774268100","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T08:30:00-04:00","2026-03-23T08:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774269000","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T08:45:00-04:00","2026-03-23T08:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774269900","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T09:00:00-04:00","2026-03-23T08:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774270800","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T09:15:00-04:00","2026-03-23T09:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774271700","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T09:30:00-04:00","2026-03-23T09:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774272600","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T09:45:00-04:00","2026-03-23T09:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774273500","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T10:00:00-04:00","2026-03-23T09:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774274400","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T10:15:00-04:00","2026-03-23T10:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774275300","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T10:30:00-04:00","2026-03-23T10:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774276200","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T10:45:00-04:00","2026-03-23T10:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774277100","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T11:00:00-04:00","2026-03-23T10:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774278000","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T11:15:00-04:00","2026-03-23T11:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774278900","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T11:30:00-04:00","2026-03-23T11:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774279800","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T11:45:00-04:00","2026-03-23T11:30:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774280700","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T12:00:00-04:00","2026-03-23T11:45:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774281600","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T12:15:00-04:00","2026-03-23T12:00:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774282500","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
"923415010","2026-03-23","102","kwh(rec)","2026-03-23T12:30:00-04:00","2026-03-23T12:15:00-04:00","0.0","0.0","1.0","KWH","E-KWH-15-REC","RECEIVED","900.0","075156887","075156887-0001-0001","00140060754479452","NMD06","4200","I","E","0001","0001","1774283400","EAST SPARTA","44626","OH","07","-04:00","10","info-insert"
